tickers
BMA
SAGA
VFC
CRNT
DRV
SCGLF
SIOPF
SBCF
BKN
CAP
MDEVF
MHLD
JEL
DKS
BTI
GDEN
PCN
FLN
COSM
HD
CAL
KNBWY
SBFM
THFF
CBDS
AREXMIS
MGDDY
LOCO
VTNR
DPSCLTD
PBIO
SPTN
JPS
PRGS
AIV
EBCOF
UVEL
TEX
HEES
ENTG
DIMC
ATTO
CTBI
BNED
DXR
WOW
MUE
EXLS
PRGO
FCF
UVE
TOL
AMNF
ISBA
VOW
DEI
PRED
CJR
GABC
CCM
FINGF
JOE
APA
PTY
SGMO
BAYA
CHTR
BANC
PFM
INT
CCS
GJ
MQBKY
GNGBY
DVL
CVI
SNNHF
ARKAY
SFT
NWLI
PMV
EGLE
CTPZY
ELSE
DASTF
SEKEY
BIT
SLRC
EAST
LMT
PFS
NICK
AME
VUX
ACDVF
FRBA
AB
MFA
CHY
BSM
TZL
ENDV
TOWN
HA
EQGPF
VHC
RMAX
QDEL
NBDX
STRA
DSG
ELPE
HUSA
EVT
VRTV
EXPD
PBPB
RGBP
SUME
BJWTF
BBDO
FCUV
SKL
FXNC
GAME
EVV
WDFC
DVA
CORT
COP
ALNY
CBZ
HOT
ESNT
FNMFM
CONN
GNL
CPS
SDRA
AUMN
DRT
BPOP
ATR
PTBA
FTK
CCI
KOF
ISS
HIHO
KTF
HYMTF
KMF
MSEX
NSA
BWEN
BRY
WYY
LSGOF
OMVKY
ASUR
ALU
ADTN
CIB
QED
GBF
SPB
HOVNP
ICE
SFBS
GRX
SPSC
WTAN
DCLT
EACO
SPN
PFMT
HCSG
LCUT
CFNB
EVRI
BOKF
JD
JBAXY
OMEX
AQN
HARL
SOW
DHF
AVT
DPW
KIM
TXHG
THRM
NOA
HSII
ALY
BX
SOOBF
AEM
LULU
ARW
UBCP
ECK
JBH
LB
FREVS
WPC
OFED
GPI
PNI
VVU
DIR
MPIR
NECB
WHR
NISP
KSB
HBGRY
NDX
MTH
DMO
RNP
CED
ARIS
CII
BOWFF
ABR
GEA
PNNT
HOLX
GGZ
B
CDZI
COHU
BH
TLGN
ACET
FAN
ER
AEY
ERC
ASXSF
RBREW
NOAH
DXYN
GNTX
TWE
EBIX
STBA
GLP
ALAST
FNMAS
NNDM
KAMN
SIS
SXS
EADSY
HIW
CRWS
COK
MKTX
BIG
DY
ADP
CHMG
CDA
TRI
SNSY
HAS
FIBRAMQ
CSPI
VVD
PAG
DABUR
WEC
CAF
ALA
CNA
TAP
ENZN
PFBX
OXBR
DWNI
RLI
SLG
CTO
KSS
DXPE
BLU
IDEALB
GBCI
SOFO
HR
HOMEX
CACI
NVRO
PFRM
PESI
XTC
HEINY
ELIOR
ROCK
BUD
BGT
RMS
SDPI
CHNR
DAN
VLS
KCO
CRMT
EQIX
SY
TIPT
WHC
SGAMY
MLVF
ORKLY
ERCA
EFN
HUN
SILO
NVEC
JMM
SIMO
ATUSF
COKE
HWO
PYOIF
DSM
EPWN
CLS
VPG
HIBB
ERCB
HDI
CZR
CRL
PEG
EADSF
HNDFDS
ALV
AEG
DOV
MOLI
CASS
VLID
CIVI
GLOP
MIY
USM
MYN
SUI
HIL
HUM
FDX
FANDY
APO
KIO
BNG
AZPN
NUS
GLO
DCAC
FFH
CDXS
SYF
INFA
SHG
NKSH
JPOTF
GLBMD
ASBFF
BOS
VZ
JMAT
CEN
AZN
HBAN
ADPT
CFR
EQC
FSD
HSIC
LOGN
EBTC
AIZ
REL
ECL
RCENTROA
FISB
GCG
CUK
OSG
CGNX
NVA
PACE
SGBLY
TPD
ESBS
ORRF
BCPC
DUNI
SKM
HPQ
ELTP
CHT
SON
KEG
SGRO
GAHC
ORLY
FRU
UTF
TTOO
DKL
BALD
IFX
AMKR
MHI
TGI
CAG
OBGRF
HDD
RNWR
TVA
QBEIF
ORK
AGEN
ECOR
FUJIY
WINA
CLW
MFC
MLCFM
VBG
CIEN
DII
AES
QRHC
OEC
TUB
BWO
BPF
HT
NIBE
PACT
MRCC
BAM
MAHLY
FMBM
CTG
HDIUF
THG
ABDA
PRTA
BTE
DIV
DRRX
ATSG
IMAX
AC
MTRX
DRX
TRNO
AALI
DIOD
LOG
WG
CWGYF
KLH
GKOS
HIMX
OXLC
LMFA
TWR
PFHO
KOV
VOITHPAPR
SCRH
DAR
FSV
ARI
SMHN
BHEL
LEG
RVSB
SOP
RR
SLM
AKT
HOME
AMH
HXGCF
INBP
HES
NWBI
WATT
RAND
DTGI
OMAB
ARL
KISB
BGCP
TRIB
SKY
BCC
NEPT
GIB
IMMR
BEL
KRC
GMBXF
HVRRF
CSGP
FF
BOH
VOLV
CVLY
